"نام مرکز درمانی
",نوع  ,خدمات,زمینه تخصصی,"سازمان
 متبوع",استان,شهر,IPD
نبی اكرم (ص) اشنویه ,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,اشنویه‌,No
شهید ایت الله صدوقی اصفهان,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,اصفهان,اصفهان‌,No
بو علی سینا مراغه,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,مراغه,No
آیت الله طالقانی چالوس,درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,چالوس‌,No
تندیس تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
الغدیر تبریز,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,آذربایجان شرقی,تبریز,No
سیدالشهداء (ع) ناجا كرمان,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,كرمان,كرمان‌,No
تهرانپارس,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
ولیعصر (عج) تویسركان,درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,تویسركان‌,No
ولیعصر (عج) زنجان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
خیریه ولیعصر,درمانی,,عمومی,سازمانهای خیریه,تهران,تهران,No
شهید علیرضا ولیان,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,الیگودرز,No
ولایت دامغان,درمانی,,عمومی,دانشگاه علوم پزشکی,سمنان,دامغان‌,No
درمانگاه تخصصی فاطمیه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,فسا,No
حضرت ولی عصر (عج) فسا,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,فسا,No
حضرت رسول اکرم (ص) کلاله,درمانی,,عمومی,دانشگاه علوم پزشکی,گلستان,كلاله,No
توحید جم,درمانی,,عمومی,شركت نفت,بوشهر,جم,No
امید ابهر ,درمانی,,عمومی,سازمان تامین اجتماعی,زنجان,ابهر,No
حضرت فاطمه (س) ساوه,درمانی,,عمومی,بخش خصوصی,مركزی,ساوه‌,No
سوم شعبان ,درمانی,,عمومی,سازمانهای خیریه,تهران,تهران,No
شهداء هفتم تیر دورود,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,دورود,No
آیت الله طالقانی آبادان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,ابادان‌,No
شهید بهشتی آبادان ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,ابادان‌,No
شهید معرفی زاده شادگان,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,شادگان‌,No
آبان تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
حضرت ابوالفضل (ع) میناب ,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,میناب‌,No
حضرت علی بن ابیطالب (ع) قم,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,قم,قم‌,No
شهید آیت اله اشرفی اصفهانی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
البرز كرج,درمانی,,عمومی,سازمان تامین اجتماعی,البرز,كرج‌,No
امام خمینی (ره) سلسله,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,سلسله‌,No
امیرالمومنین (ع) جوادیه ,آموزشی، درمانی,,عمومی,دانشگاه آزاد اسلامی,تهران,تهران,No
امیرالمؤمنین (ع) اصفهان,درمانی,,عمومی,بنیاد شهید و امور ایثارگران,اصفهان,اصفهان‌,No
امیرمازندرانی ساری,درمانی,,عمومی,بخش خصوصی,مازندران,ساری,No
ولیعصر (عج) انار ,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,انار,No
فرهنگ خسروانی فراهان,درمانی,,عمومی,دانشگاه علوم پزشکی,مرکزی,فراهان,No
ارجمند كرمان,درمانی,,عمومی,سازمانهای خیریه,كرمان,كرمان‌,No
آرمان تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
امام خمینی (ره) نمین ,درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,نمین‌,No
امام رضا (ع) اردبیل,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
كلینیك توحید اردبیل,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
كلینیك اقماری فردوس اردبیل,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
كلینیك شهرستان سرعین ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,سرعین,No
كلینیك شهرستان كوثر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,كوثر,No
كلینیك مركز درمان بستر شهرستان نیر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,نیر,No
كلینیك امام علی(ع) اردبیل,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
كلینیك كوثر اردبیل,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
كلینیك شفا پارس آباد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,پارس ‌اباد,No
امام خمینی (ره) پارس اباد,درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,پارس ‌اباد,No
ولایت گرمی,درمانی,,عمومی,دانشگاه علوم پزشکی,اردبیل,گرمی,No
آسیا تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
عسگریه اصفهان,آموزشی، درمانی,,عمومی,سازمانهای خیریه,اصفهان,اصفهان‌,No
امیرالمومنین (ع) اهواز ,درمانی,,عمومی,سازمان تامین اجتماعی,خوزستان,اهواز,No
آزادی تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
بابك تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
بابل كلینیك,درمانی,,عمومی,بخش خصوصی,مازندران,بابل,No
كلینیك تخصصی مغز و اعصاب و روان یزد,آموزشی، درمانی، پژوهشی,,عمومی,سایر سازمانها,یزد,یزد,No
فرهنگیان شهید باهنر ,درمانی,,عمومی,آموزش و پرورش,تهران,تهران,No
بقیه الله الاعظم (عج) تهران,آموزشی، درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,تهران,تهران,No
امام رضا (ع) چالوس,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,مازندران,چالوس‌,No
دكتر شهیدزاده بهبهان,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,بهبهان‌,No
بعثت شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
برزویه گنبد کاوس,درمانی,,عمومی,بخش خصوصی,گلستان,گنبد كاووس‌,No
شهید دكتر چمران تهران,درمانی,,عمومی,سایر سازمانها,تهران,تهران,No
تامین اجتماعی شازند,درمانی,,عمومی,سازمان تامین اجتماعی,مركزی,شازند,No
خلیج فارس تامین اجتماعی بندرعباس,درمانی,,عمومی,سازمان تامین اجتماعی,هرمزگان,بندرعباس‌,No
دکتر صولتی ارومیه,درمانی,,عمومی,بخش خصوصی,آذربایجان غربی,ارومیه‌,No
مركز آموزشی درمانی امام خمینی (ره) ساری,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,ساری,No
امام زمان (ع) اسلامشهر,درمانی,,عمومی,بخش خصوصی,تهران,اسلامشهر,No
دكتر امامی شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
امام رضا (ع) بندر عباس,درمانی,,عمومی,بخش خصوصی,هرمزگان,بندرعباس‌,No
امام رضا (ع) تامین اجتماعی قم,درمانی,,عمومی,سازمان تامین اجتماعی,قم,قم‌,No
امام سجاد (ع) رامسر,درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,رامسر,No
امداد شهید دكتر بهشتی سبزوار,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,سبزوار,No
امام خمینی (ره) جرقویه اصفهان,درمانی,,عمومی,سازمانهای خیریه,اصفهان,اصفهان‌,No
امام خمینی (ره) فلاورجان ,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,فلاورجان‌,No
فلسفی گرگان,درمانی,,عمومی,بخش خصوصی,گلستان,گرگان‌,No
سلامت فردا,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
فیض اصفهان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,اصفهان‌,No
فاطمه الزهرا (س) قشم,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,قشم‌,No
شهید گنجی برازجان,درمانی,,عمومی,دانشگاه علوم پزشکی,بوشهر,دشتستان‌,No
قمر بنی هاشم جوین,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,جوین,No
بهداشت و درمان صنعت نفت گچساران(بعثت),درمانی,,عمومی,شركت نفت,کهگیلویه و بویراحمد,گچساران‌,No
قائم جیرفت,درمانی,,عمومی,بخش خصوصی,كرمان,جیرفت‌,No
قائم (عج) اردبیل,درمانی,,عمومی,بخش خصوصی,اردبیل,اردبیل‌,No
دكتر غرضی اصفهان ,درمانی,,عمومی,سازمان تامین اجتماعی,اصفهان,اصفهان‌,No
غرضی سیر جان ,درمانی,,عمومی,سازمان تامین اجتماعی,كرمان,سیرجان‌,No
قدس اراك,درمانی,,عمومی,بخش خصوصی,مركزی,اراك‌,No
آیت الله علامه بهلول گنابادی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,گناباد,No
گلسار رشت,درمانی,,عمومی,بخش خصوصی,گیلان,رشت‌,No
گودرز یزد,درمانی,,عمومی,سازمانهای خیریه,یزد,یزد,No
شهداء بندر گز,درمانی,,عمومی,دانشگاه علوم پزشکی,گلستان,بندرگز,No
شهید مطهری گنبد كاوس,درمانی,,عمومی,دانشگاه علوم پزشکی,گلستان,گنبد كاووس‌,No
حاج آقی آل جلیل آق قلا,درمانی,,عمومی,دانشگاه علوم پزشکی,گلستان,آق قلا,No
پورسینا رشت,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,رشت‌,No
امام رضا (ع) شفت,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,شفت‌,No
حكمت ساری,درمانی,,عمومی,سازمان تامین اجتماعی,مازندران,ساری,No
حشمتیه نایین ,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,نائین‌,No
حضرت فاطمه (س) كرمان,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,كرمان,كرمان‌,No
فاطمه الزهرا (س) مینودشت,درمانی,,عمومی,دانشگاه علوم پزشکی,گلستان,مینودشت‌,No
پارسیان,درمانی,,عمومی,بخش خصوصی,چهارمحال وبختیاری,شهركرد,No
ایرانشهر,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
امام رضا (ع) كرمانشاه ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
بقیه الله  (عج) جماران,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,تهران,تهران,No
آیت الله كرمی اهواز ,درمانی,,عمومی,سازمانهای خیریه,خوزستان,اهواز,No
خانواده اصفهان,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
سید عبدالباقی نیاپور,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,خمیر,No
256 تختخوابی تامین اجتماعی خرم آباد,درمانی,,عمومی,سازمان تامین اجتماعی,لرستان,خرم ‌اباد,No
امام حسین (ع) ارزوئیه,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,ارزوئیه,No
كوثر بروجرد,درمانی,,عمومی,سازمان تامین اجتماعی,لرستان,بروجرد,No
و زایشگاه كوثر ایلام,درمانی,,عمومی,بخش خصوصی,ایلام,ایلام‌,No
كوثر شیراز,درمانی,,عمومی,سازمانهای خیریه,فارس,شیراز,No
شهید لبافی نژاد,آموزشی، درمانی,,عمومی,سازمان تامین اجتماعی,تهران,تهران,No
مدائن تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
مردم تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
مهرگان خرم‌اباد,درمانی,,عمومی,بخش خصوصی,لرستان,خرم ‌اباد,No
مهرخنداب,درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,خنداب,No
زنان و زایمان مهر برازجان,درمانی,,عمومی,سازمان تامین اجتماعی,بوشهر,دشتستان‌,No
میلاد تهران,درمانی,,عمومی,سازمان تامین اجتماعی,تهران,تهران,No
میلاد لاهیجان,درمانی,,عمومی,بخش خصوصی,گیلان,لاهیجان‌,No
دكتر میر شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
مفرح  تهران,درمانی,,عمومی,سازمانهای خیریه,تهران,تهران,No
مرتاض یزد,درمانی,,عمومی,بخش خصوصی,یزد,یزد,No
مسلمین.ف.بهی.ندسا.شیراز,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,فارس,شیراز,No
شهید مطهری ارومیه,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,ارومیه‌,No
شهید مطهری همدان,درمانی,,عمومی,بخش خصوصی,همدان,همدان‌,No
مركزی شیراز ( ام آر آی) شیراز ,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
پاستور بم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,بم‌,No
22 بهمن خواف,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,خواف‌,No
آیت الله نبوی دزفول ,درمانی,,عمومی,سازمانهای خیریه,خوزستان,دزفول‌,No
امام خمینی (ره) نقده,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,نقده‌,No
سید الشهدا(ع) منطقه یكم نداجا,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,هرمزگان,بندرعباس‌,No
نیكان تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
كلینیك ویژه تغذیه دانشكده تغذیه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
نورافشار تهران,درمانی,,عمومی,سازمانهای خیریه,تهران,تهران,No
نور شهریار,درمانی,,عمومی,بخش خصوصی,تهران,شهریار,No
نورنجات تبریز,درمانی,,عمومی,بخش خصوصی,آذربایجان شرقی,تبریز,No
مركز درمانی شبانه روزی فیروزه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,فیروزه,No
مركز خیریه آموزشی پژوهشی درمانی پیوند اعضاء ابوعلی سینا ,آموزشی، درمانی، پژوهشی,,عمومی,سازمانهای خیریه,فارس,شیراز,No
پارس,درمانی,,عمومی,بخش خصوصی,گیلان,رشت‌,No
پارس شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
پاستور قزوین ,درمانی,,عمومی,بخش خصوصی,قزوین,قزوین‌,No
رستمانی پارسیان ,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,پارسیان,No
سجاد كرمانشاه,درمانی,,عمومی,بخش خصوصی,كرمانشاه,كرمانشاه‌,No
سلمان فارسی بوشهر,درمانی,,عمومی,سازمان تامین اجتماعی,بوشهر,بوشهر,No
صارم تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
ساسان ,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
سیدالشهداء (ع) تهران,درمانی,,عمومی,سازمانهای خیریه,تهران,تهران,No
دكتر سید بقاء سیدالشهداءی,درمانی,,عمومی,بخش خصوصی,كردستان,سنندج‌,No
صاحب الزمان (عج) بندر عباس,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,هرمزگان,بندرعباس‌,No
شفا شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
تخصصی شمس,درمانی,,عمومی,بخش خصوصی,آذربایجان غربی,ارومیه‌,No
مجتمع آموزشی درمانی پژوهشی پیامبر اعظم(ص),آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,بندرعباس‌,No
سیدالشهداء (ع) یزد,درمانی,,عمومی,سازمانهای خیریه,یزد,یزد,No
سیدالشهداء (ع) قادرآباد,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,خرم بید,No
شفا تبریز,درمانی,,عمومی,بخش خصوصی,آذربایجان شرقی,تبریز,No
تامین اجتماعی سنندج,درمانی,,عمومی,سازمان تامین اجتماعی,كردستان,سنندج‌,No
خاتم الانبیا (ص) گنبدكاوس ,درمانی,,عمومی,سازمان تامین اجتماعی,گلستان,گنبد كاووس‌,No
حضرت معصومه (س) كرمانشاه,درمانی,,عمومی,سازمان تامین اجتماعی,كرمانشاه,كرمانشاه‌,No
بوعلی نكا,درمانی,,عمومی,سازمان تامین اجتماعی,مازندران,نكا,No
امام خمینی (ره) رامهرمز,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,رامهرمز,No
آیت الله  كاشانی,درمانی,,عمومی,سازمان تامین اجتماعی,تهران,تهران,No
آتیه همدان,درمانی,,عمومی,سازمان تامین اجتماعی,همدان,همدان‌,No
تهران کلینیک ,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
شهداء تكاب,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,تكاب‌,No
كلینیك تخصصی مغز و اعصاب روان تهران,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
تریتا تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
ولیعصر (عج) جغتای ,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,جغتای,No
ولیعصر (عج) قائم شهر ,درمانی,,عمومی,سازمان تامین اجتماعی,مازندران,قائم‌ شهر,No
ولیعصر (عج) بروجن,درمانی,,عمومی,دانشگاه علوم پزشکی,چهارمحال وبختیاری,بروجن‌,No
واسعی سبزوار,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,سبزوار,No
زهرای مرضیه (س) اصفهان,درمانی,,عمومی,سازمانهای خیریه,اصفهان,اصفهان‌,No
امیرالمؤمنین (ع) خدابنده,درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,خدابنده‌,No
الغدیر ابهر,درمانی,,عمومی,دانشگاه علوم پزشکی,زنجان,ابهر,No
تامین اجتماعی زاهدان ,درمانی,,عمومی,سازمان تامین اجتماعی,سیستان وبلوچستان,زاهدان‌,No
امام حسن عسكری (ع) زرقان,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,زرقان,No
امام موسی كاظم (ع) زرین دشت,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,زرین دشت,No
امیرالمومنین (ع) زابل,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زابل‌,No
كلینیك ویژه شفیعیه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
شهداء كرمانشاه,درمانی,,عمومی,سازمان تامین اجتماعی,كرمانشاه,كرمانشاه‌,No
حضرت رسول اكرم (ص) فریدونشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,فریدونشهر,No
شهیدسرلشكر مسعود منفرد نیاكی,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,خوزستان,اهواز,No
شهید بقایی اهواز ,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,خوزستان,اهواز,No
مادر رامهرمز,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,رامهرمز,No
اشرفی اصفهانی آغاجاری,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,آغاجاری,No
شهید ایرانپور امیدیه,درمانی,,عمومی,شركت نفت,خوزستان,امیدیه‌,No
524 منطقه ای سنندج ارتش,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,كردستان,سنندج‌,No
الزهرا (س) گیلان غرب,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,گیلانغرب‌,No
حاجیه نرگس معرفی ماهشهر ,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,بندرماهشهر,No
22 بهمن مسجد سلیمان ,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,مسجدسلیمان‌,No
ارتش (554 منطقه ای) زنجان,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,زنجان,زنجان‌,No
نظام مافی شوش,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,شوش‌,No
خاتم الانبیاء (ص) شوشتر,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,شوشتر,No
امام خمینی (ره) اسلام آباد غرب,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,اسلام ‌ابادغرب‌,No
امید لالی ,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,لالی,No
فاطمه الزهرا (س) اهواز,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,خوزستان,اهواز,No
حضرت ابوالفضل (ع) كرمانشاه,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,كرمانشاه,كرمانشاه‌,No
سید الشهداء رودبار جنوب,درمانی,,عمومی,دانشگاه علوم پزشکی,کرمان,رودبار جنوب,No
علامه جعفری ورزقان,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,ورزقان,No
امام خمینی (ره) سنقر,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,سنقر,No
ایران ناجا شیراز,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,فارس,شیراز,No
خاتم الانبیاء(ص) بهشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,بهشهر,No
آیت اله خامنه ای عباس آباد,درمانی,,عمومی,دانشگاه علوم پزشکی,مازندران,عباس ‌آباد,No
رسول اكرم رامشیر,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,رامشیر,No
پایگاه چهارم شکاری دزفول ,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,خوزستان,دزفول‌,No
580 ارتش دزفول ,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,خوزستان,دزفول‌,No
رسالت چالشتر,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,چهارمحال وبختیاری,شهركرد,No
ایران ایرانشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,ایرانشهر,No
حضرت زینب (س) تهران,آموزشی، درمانی,,عمومی,سایر سازمانها,تهران,تهران,No
شهداء زاگرس- میلاد4,درمانی,,عمومی,سازمان تامین اجتماعی,ایلام,ایلام‌,No
امام خمینی (ره) بروجرد,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,بروجرد,No
تامین اجتماعی تربت حیدریه (فعال),درمانی,,عمومی,سازمان تامین اجتماعی,خراسان رضوی,تربت‌ حیدریه‌,No
شفا بشرویه,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,بشرویه,No
سپاهان اصفهان ,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
سینا سمنان,درمانی,,عمومی,بخش خصوصی,سمنان,سمنان‌,No
دكتر سپیر (كانون خیرخواه),درمانی,,عمومی,سازمانهای خیریه,تهران,تهران,No
سجادیه تربت جام,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,تربت ‌جام‌,No
امام سجاد (ع) دانشگاه آزاد تبریز,درمانی,,عمومی,دانشگاه آزاد اسلامی,آذربایجان شرقی,تبریز,No
رسالت تهران ,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
علی ابن اابیطالب (ع) راور,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,راور,No
زکریای رازی قزوین,درمانی,,عمومی,سازمان تامین اجتماعی,قزوین,قزوین‌,No
خلیج فارس خارك,درمانی,,عمومی,شركت نفت,بوشهر,بوشهر,No
ارس پارس آباد,درمانی,,عمومی,سازمان تامین اجتماعی,اردبیل,پارس ‌اباد,No
دكتر امیدی بهشهر,درمانی,,عمومی,بخش خصوصی,مازندران,بهشهر,No
ام لیلا بندرعباس,درمانی,,عمومی,بخش خصوصی,هرمزگان,بندرعباس‌,No
نبی اكرم (ص) زاهدان ,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,سیستان وبلوچستان,زاهدان‌,No
مادر و كودك غدیر,درمانی,,عمومی,سازمانهای خیریه,فارس,شیراز,No
كلینیك تخصصی و فوق تخصصی امام علی (ع) شهركرد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,چهارمحال وبختیاری,شهركرد,No
مهر ساری,درمانی,,عمومی,بخش خصوصی,مازندران,ساری,No
مهرآیین,درمانی,,عمومی,بخش خصوصی,تهران,شمیرانات,No
مهرگان قزوین‌,درمانی,,عمومی,بخش خصوصی,قزوین,قزوین‌,No
درمانگاه روانسر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,روانسر,No
درمانگاه دالاهو,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,کرمانشاه,دالاهو,No
امام حسین (ع) منوجان,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,منوجان,No
كوثر كرج,درمانی,,عمومی,دانشگاه علوم پزشکی,البرز,كرج‌,No
آیت الله کاشانی جیرفت,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,جیرفت‌,No
جواهری تهران,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه آزاد اسلامی,تهران,تهران,No
جرجانی اصفهان ,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
امام حسین ‌(ع) شاهرود,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,شاهرود,No
دوازده فروردین کهنوج,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,كهنوج‌,No
خاتم الانبیا (ص) بوشهر,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,بوشهر,بوشهر,No
ایران خرم اباد,درمانی,,عمومی,بخش خصوصی,لرستان,خرم ‌اباد,No
امیرالمومنین (ع) تبریز,درمانی,,عمومی,سازمانهای خیریه,آذربایجان شرقی,تبریز,No
امام علی (ع) شهركرد,درمانی,,عمومی,سازمان تامین اجتماعی,چهارمحال وبختیاری,شهركرد,No
شهداء گمنام یاسوج,درمانی,,عمومی,سازمان تامین اجتماعی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
نهم دی تربت حیدریه,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,تربت‌ حیدریه‌,No
ولیعصر قزوین,درمانی,,عمومی,بخش خصوصی,قزوین,آبیك,No
شهید عارفیان ارومیه,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,آذربایجان غربی,ارومیه‌,No
شهید چمران ساوه ,درمانی,,عمومی,سازمان تامین اجتماعی,مركزی,ساوه‌,No
آیت الله كاشانی کرمان,درمانی,,عمومی,سازمان تامین اجتماعی,كرمان,كرمان‌,No
بیست و دوم بهمن گناباد ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,گناباد,No
شهداء قلعه گنج,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,قلعه گنج,No
حضرت قائم (عج) ایلام,درمانی,,عمومی,بخش خصوصی,ایلام,ایلام‌,No
فکری بستک ,درمانی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,بستك,No
